📡  电信频道,#genre#
汕头文体,http:///udp/239.253.43.47:5146
清远综合,http:///udp/239.253.43.33:5146
清远公共,http:///udp/239.253.43.34:5146
云浮综合,http:///udp/239.77.0.253:5146
云浮文旅,http:///udp/239.77.0.254:5146
茂名综合,http:///udp/239.77.0.206:5146
茂名公共,http:///udp/239.77.0.207:5146
佛山综合,http:///udp/239.253.43.57:5146
佛山公共,http:///udp/239.253.43.53:5146
佛山影视,http:///udp/239.253.43.56:5146
佛山顺德,http:///udp/239.253.43.55:5146
佛山南海,http:///udp/239.253.43.54:5146
中山综合,http:///udp/239.253.43.62:5146
香山文化,http:///udp/239.253.43.63:5146
东莞新闻,http:///udp/239.253.43.104:5146
东莞生活,http:///udp/239.253.43.105:5146
湖南卫视,http:///udp/239.77.1.5:5146
湖南卫视,http:///udp/239.77.1.129:5146
湖南卫视,http:///udp/239.77.0.88:5146
湖南卫视,http:///udp/239.77.0.127:5146
浙江卫视,http:///udp/239.77.1.33:5146
浙江卫视,http:///udp/239.77.1.150:5146
浙江卫视,http:///udp/239.77.0.89:5146
浙江卫视,http:///udp/239.77.0.125:5146
江苏卫视,http:///udp/239.77.1.18:5146
江苏卫视,http:///udp/239.77.1.149:5146
江苏卫视,http:///udp/239.77.0.90:5146
江苏卫视,http:///udp/239.77.0.126:5146
东方卫视,http:///udp/239.77.1.218:5146
东方卫视,http:///udp/239.77.1.156:5146
东方卫视,http:///udp/239.77.0.98:5146
安徽卫视,http:///udp/239.77.1.92:5146
安徽卫视,http:///udp/239.77.1.157:5146
安徽卫视,http:///udp/239.77.0.183:5146
北京卫视,http:///udp/239.77.1.4:5146
北京卫视,http:///udp/239.77.1.151:5146
北京卫视,http:///udp/239.77.0.91:5146
天津卫视,http:///udp/239.77.1.141:5146
天津卫视,http:///udp/239.77.1.182:5146
天津卫视,http:///udp/239.77.0.97:5146
天津卫视,http:///udp/239.77.0.131:5146
山东卫视,http:///udp/239.77.1.142:5146
山东卫视,http:///udp/239.77.1.153:5146
山东卫视,http:///udp/239.77.0.94:5146
山东卫视,http:///udp/239.77.0.132:5146
江西卫视,http:///udp/239.77.1.219:5146
江西卫视,http:///udp/239.77.0.149:5146
湖北卫视,http:///udp/239.77.1.93:5146
